,,,,,,,Games,Games,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt,Rec-Normalized,Yds-Normalized,TD-Normalized,Ctch%-Normalized,Y/Tgt-Normalized
184,Steve Watson,1979,1987,,DEN,NFL,126,87,,353,6112,17.31,36,48.5,,,0.01644736842105263,0.01473523541152988,0.06936416184971098,0.43064475250933676,0.4666848081991573
185,Mike Evans,2014,2018,1-7,TAM,NFL,77,76,717,395,6103,15.45,40,79.3,55.1%,8.51,0.05098684210526316,0.014206880356933193,0.09248554913294797,0.06667280352335274,0.00013988344574968354
186,Ronnie Harmon,1986,1997,1-16,TOT,NFL,181,27,462,582,6076,10.44,24,33.6,,,0.20476973684210525,0.012621815193143126,0.0,0.0008911846191098675,0.0004946764145438388
187,Red Phillips,1958,1967,1-5,TOT,NFL,119,104,,401,6044,15.07,34,50.8,,,0.05592105263157895,0.010743219443466009,0.057803468208092484,0.48929078658562825,0.461486953384415
188,Lenny Moore*,1956,1967,1-9,CLT,NFL,143,118,,363,6039,16.64,48,42.2,,,0.024671052631578948,0.01044968885757896,0.13872832369942195,0.44286267627523085,0.4611047581774486
189,Santonio Holmes,2006,2014,1-25,TOT,NFL,112,91,734,389,6030,15.50,36,53.8,53.0%,8.22,0.046052631578947366,0.00992133380298227,0.06936416184971098,0.06410703953251498,0.0001177161237456354
190,Louis Lipps,1984,1992,1-23,TOT,NFL,110,98,1,359,6019,16.77,39,54.7,,,0.02138157894736842,0.009275566514030761,0.08670520231213873,0.4379755067688732,0.4595759773495832
191,Jack Snow,1965,1975,1-8 7-54AFL,RAM,NFL,150,139,,340,6012,17.68,45,40.1,,,0.005756578947368421,0.008864623693788893,0.12138728323699421,0.4147614516136745,0.45904090405983033
192,Lee Evans,2004,2011,1-13,TOT,NFL,118,104,724,381,6008,15.77,43,50.9,52.6%,8.30,0.039473684210526314,0.008629799225079253,0.10982658959537572,0.06361832258187922,0.00012383124705709698
193,Sonny Randle,1959,1968,19-218,TOT,NFL,122,95,,365,5996,16.43,65,49.1,,,0.02631578947368421,0.007925325818950335,0.23699421965317918,0.44530626102840964,0.45781787939753804
194,Brandon Lloyd,2003,2014,4-124,TOT,NFL,142,91,831,399,5989,15.01,36,42.2,48.0%,7.21,0.054276315789473686,0.007514382998708466,0.06936416184971098,0.05799807764956795,4.051269193843296e-05
195,Bobby Joe Conrad,1958,1969,5-58,TOT,NFL,156,135,,422,5902,13.99,38,37.8,,,0.07319078947368421,0.0024069508042738053,0.08092485549132948,0.5149484264940059,0.4506326095065707
196,Billy Wilson,1951,1960,22-283,SFO,NFL,103,95,,407,5902,14.50,49,57.3,,,0.06085526315789474,0.0024069508042738053,0.14450867052023122,0.4966215408451647,0.4506326095065707
197,Ben Watson,2004,2018,1-32,TOT,NFL,195,135,836,530,5885,11.10,44,30.2,63.4%,7.04,0.16200657894736842,0.0014089468122578373,0.11560693641618497,0.07681368024904481,2.7518054901577116e-05
198,Todd Christensen,1979,1988,2-56,TOT,NFL,137,90,,461,5872,12.74,41,42.9,,,0.10526315789473684,0.0006457672889515088,0.09826589595375723,0.5625983291809926,0.44833943826477257
199,Todd Heap,2001,2012,1-31,TOT,NFL,145,131,817,499,5869,11.76,42,40.5,61.1%,7.18,0.13651315789473684,0.0004696489374192791,0.10404624277456648,0.07400355778288917,3.821952069663485e-05
200,James Jones,2007,2015,3-78,TOT,NFL,136,72,716,433,5861,13.54,51,43.1,60.5%,8.19,0.08223684210526316,0.0,0.15606936416184972,0.07327048235693552,0.00011542295250383723
