,,,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Int,Yds,TD,PD
78,Malcolm Jenkins,2009,2018,1-14,TOT,NFL,151,143,17,498,6,87
79,Dexter McCleon,1997,2006,2-40,TOT,NFL,148,90,31,179,0,87
80,Ashley Ambrose,1992,2004,2-29,TOT,NFL,192,141,42,512,3,86
81,Lito Sheppard,2002,2011,1-26,TOT,NFL,126,79,19,460,3,86
82,Robert Alford,2013,2018,2-60,ATL,NFL,88,76,10,131,2,85
83,Fred Smoot,2001,2009,2-45,TOT,NFL,129,104,21,194,1,85
84,Dewayne Washington,1994,2005,1-18,TOT,NFL,191,171,31,569,5,85
85,Casey Hayward,2012,2018,2-62,TOT,NFL,99,66,20,303,2,84
86,Glover Quin,2009,2018,4-112,TOT,NFL,159,156,24,347,2,84
87,Leigh Bodden,2003,2011,,TOT,NFL,95,68,18,192,1,83
88,Ray Buchanan,1993,2004,3-65,TOT,NFL,184,165,47,827,4,83
89,Andre Dyson,2001,2007,2-60,TOT,NFL,96,80,22,329,4,81
90,Duane Starks,1998,2006,1-10,TOT,NFL,97,67,25,245,2,81
91,Chris Harris,2011,2018,,DEN,NFL,123,105,19,446,4,80
92,Leodis McKelvin,2008,2016,1-11,TOT,NFL,111,72,15,143,2,80
93,Bobby Taylor,1995,2004,2-50,TOT,NFL,129,109,19,224,2,80
94,Nnamdi Asomugha,2003,2013,1-31,TOT,NFL,157,131,15,79,1,79
95,Chris Houston,2007,2013,2-41,TOT,NFL,99,91,13,275,3,79
96,Tim Jennings,2006,2015,2-62,TOT,NFL,137,98,20,279,3,79
97,Devin McCourty,2010,2018,1-27,NWE,NFL,139,139,21,382,1,79
98,Chad Scott,1997,2006,1-24,TOT,NFL,108,95,21,400,4,79
99,Josh Wilson,2007,2015,2-55,TOT,NFL,126,89,15,296,4,79
100,Rodney Harrison,1994,2008,5-145,TOT,NFL,186,159,34,361,2,78
101,Fred Thomas,1996,2007,2-47,TOT,NFL,156,80,13,140,0,78
102,Eric Warfield,1998,2005,7-216,KAN,NFL,115,77,20,236,3,78
103,Fernando Bryant,1999,2008,1-26,TOT,NFL,112,109,7,26,0,77
104,Patrick Robinson,2010,2018,1-32,TOT,NFL,100,58,14,195,1,77
105,Buster Skrine,2011,2018,5-137,TOT,NFL,123,85,9,104,0,77
106,Fakhir Brown,1999,2008,,TOT,NFL,113,62,11,81,1,76
107,Patrick Peterson,2011,2018,1-5,CRD,NFL,128,128,23,244,1,76
108,Orlando Scandrick,2008,2018,5-143,TOT,NFL,140,76,9,42,1,76
109,Aaron Beasley,1996,2004,3-63,TOT,NFL,121,105,24,487,2,75
110,Antoine Bethea,2006,2018,6-207,TOT,NFL,193,184,24,305,1,75
111,David Macklin,2000,2008,3-91,TOT,NFL,120,75,14,233,1,75
112,Kerry Rhodes,2005,2012,4-123,TOT,NFL,118,116,23,402,0,75
113,Alterraun Verner,2010,2017,4-104,TOT,NFL,125,72,15,210,1,75
114,Brian Williams,2002,2011,4-105,TOT,NFL,132,99,19,323,1,75
115,Sammy Knight,1997,2008,,TOT,NFL,183,168,42,664,4,74
116,Jerraud Powers,2009,2016,3-92,TOT,NFL,100,88,13,60,1,74
117,Phillip Buchanon,2002,2011,1-17,TOT,NFL,122,81,20,432,5,73
118,Josh Norman,2012,2018,5-143,TOT,NFL,99,83,13,289,2,73
119,Roderick Hood,2003,2011,,TOT,NFL,102,51,15,356,3,72
120,Trumaine Johnson,2012,2018,3-65,TOT,NFL,95,72,22,322,4,72
121,Tracy Porter,2008,2016,2-40,TOT,NFL,98,88,13,212,3,72
122,Desmond Trufant,2013,2018,1-22,ATL,NFL,88,88,9,71,0,72
123,Eric Wright,2007,2013,2-53,TOT,NFL,92,81,15,314,2,72
124,David Barrett,2000,2008,4-102,TOT,NFL,131,76,18,162,1,71
125,Ahmed Plummer,2000,2005,1-24,SFO,NFL,70,68,12,130,1,71
126,Antrel Rolle,2005,2015,1-8,TOT,NFL,155,146,26,565,4,71
127,Corey Graham,2007,2018,5-168,TOT,NFL,184,74,18,302,1,70
128,Tony Parrish,1998,2006,2-35,TOT,NFL,131,126,30,670,2,70
129,Sam Shields,2010,2018,,TOT,NFL,96,64,19,202,0,70
130,Richard Marshall,2006,2014,2-58,TOT,NFL,124,66,18,405,2,69
131,Mike Minter,1997,2006,2-56,CAR,NFL,148,141,17,421,4,69
132,Prince Amukamara,2011,2018,1-19,TOT,NFL,98,84,10,126,1,68
133,Nick Collins,2005,2011,2-51,GNB,NFL,95,95,21,507,4,68
134,John Lynch,1993,2007,3-82,TOT,NFL,224,191,26,204,0,68
135,Roman Harper,2006,2016,2-43,TOT,NFL,156,140,11,148,2,67
136,Dwight Lowery,2008,2016,4-113,TOT,NFL,116,88,17,317,3,67
137,Xavier Rhodes,2013,2018,1-25,MIN,NFL,89,82,10,159,1,67
138,Earl Thomas,2010,2018,1-14,SEA,NFL,125,125,28,417,2,67
139,Kelly Herndon,2002,2007,,TOT,NFL,77,49,9,48,0,66
140,David Amerson,2013,2018,2-51,TOT,NFL,74,61,9,98,2,65
141,Ron Bartell,2005,2012,2-50,TOT,NFL,96,71,8,102,1,65
142,Darius Butler,2009,2017,2-41,TOT,NFL,124,42,15,290,4,65
143,Brent Alexander,1994,2005,,TOT,NFL,192,178,28,253,0,64
144,Bashaud Breeland,2014,2018,4-102,TOT,NFL,67,63,10,232,2,64
