,,,,,,,Games,Games,Tackles,Tackles,Tackles,Tackles,Tackles,Tackles
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Sk,Solo,Ast,Comb,TFL,QBHits
67,Jessie Armstead,1993,2003,8-207,TOT,NFL,176,129,40.0,747,220,967,66,
68,Clyde Simmons,1986,2000,9-233,TOT,NFL,236,185,121.5,914,52,966,8,
69,Curtis Lofton,2008,2015,2-37,TOT,NFL,128,120,8.0,667,296,963,42,20
70,Earl Holmes,1996,2005,4-126,TOT,NFL,140,131,11.5,680,273,953,68,
71,A.J. Hawk,2006,2016,1-5,TOT,NFL,159,147,20.0,644,306,950,57,36
72,Patrick Willis,2007,2014,1-11,SFO,NFL,112,112,20.5,732,218,950,60,41
73,Stephen Tulloch,2006,2016,4-116,TOT,NFL,159,113,14.5,677,272,949,60,36
74,Will Witherspoon,2002,2013,3-73,TOT,NFL,189,153,26.0,755,194,949,64,34
75,Mike Adams,2004,2018,,TOT,NFL,222,149,6.0,714,232,946,19,25
76,Bryan Cox,1991,2002,5-113,TOT,NFL,165,144,51.5,764,174,938,19,
77,Ryan Clark,2002,2014,,TOT,NFL,177,152,4.0,643,285,928,19,4
78,Jeremiah Trotter,1998,2009,3-72,TOT,NFL,147,124,12.5,722,187,909,69,1
79,D.J. Williams,2004,2014,1-17,TOT,NFL,145,129,22.5,676,221,897,75,30
80,Dhani Jones,2001,2010,6-177,TOT,NFL,157,131,9.5,628,261,889,60,14
81,Ray Childress,1985,1996,1-3,TOT,NFL,163,160,76.5,861,26,887,,
82,William Thomas,1991,2001,4-104,TOT,NFL,172,160,37.0,728,158,886,21,
83,Lavonte David,2012,2018,2-58,TAM,NFL,105,105,21.5,641,243,884,106,45
84,Al Smith,1987,1996,6-147,OTI,NFL,125,124,5.5,833,47,880,,
85,Justin Smith,2001,2014,1-4,TOT,NFL,221,217,87.0,613,267,880,119,137
86,Greg Kragen,1985,1997,,TOT,NFL,200,164,28.5,841,30,871,,
87,Jonathan Vilma,2004,2013,1-12,TOT,NFL,125,121,10.5,612,259,871,43,30
88,James Laurinaitis,2009,2016,2-35,TOT,NFL,117,116,16.5,663,207,870,49,40
89,Eric Barton,1999,2010,5-146,TOT,NFL,160,120,20.0,632,236,868,52,14
90,Wesley Woodyard,2008,2018,,TOT,NFL,165,108,27.0,558,309,867,55,53
91,Carl Banks,1984,1995,1-3,TOT,NFL,173,151,39.5,826,34,860,,
92,Jamie Sharper,1997,2005,2-34,TOT,NFL,136,135,25.5,626,233,859,61,
93,Terrell Suggs,2003,2018,1-10,RAV,NFL,229,213,132.5,601,253,854,193,191
94,Michael Strahan*,1993,2007,2-40,NYG,NFL,216,205,141.5,659,192,851,131,27
95,Steve McMichael,1980,1994,3-73,TOT,NFL,213,171,95.0,838,9,847,,
96,Randall Godfrey,1996,2007,2-49,TOT,NFL,170,149,17.0,653,188,841,52,6
97,Kurt Gouveia,1987,1999,8-213,TOT,NFL,183,91,5.0,781,56,837,4,
98,Paris Lenon,2002,2013,,TOT,NFL,189,128,12.0,592,239,831,41,25
99,Simon Fletcher,1985,1995,2-54,DEN,NFL,172,143,97.5,808,20,828,,
100,Ken Harvey,1988,1998,1-12,TOT,NFL,164,135,89.0,763,65,828,,
101,Bradie James,2003,2012,4-103,TOT,NFL,157,126,16.0,561,260,821,40,28
102,Byron Evans,1987,1994,4-93,PHI,NFL,113,91,3.5,806,13,819,,
103,Mike Pitts,1983,1994,1-16,TOT,NFL,169,123,48.5,804,10,814,,
104,Vincent Brown,1988,1995,2-43,NWE,NFL,123,103,16.5,737,74,811,,
105,Jerod Mayo,2008,2015,1-10,NWE,NFL,103,93,11.0,535,273,808,30,28
106,Larry Foote,2002,2014,4-128,TOT,NFL,187,134,25.0,543,264,807,65,35
107,Jesse Solomon,1986,1994,12-318,TOT,NFL,116,76,10.0,804,0,804,,
108,Eddie Robinson,1992,2002,2-50,TOT,NFL,175,163,23.0,608,195,803,28,
109,Willie McGinest,1994,2008,1-4,TOT,NFL,212,184,86.0,583,219,802,96,23
110,Julian Peterson,2000,2010,1-16,TOT,NFL,158,147,51.5,595,207,802,75,42
111,NaVorro Bowman,2010,2017,3-91,TOT,NFL,99,84,14.0,585,213,798,48,30
112,Charles Mann,1983,1994,3-84,TOT,NFL,177,145,83.0,795,1,796,,
113,James Harrison,2002,2017,,TOT,NFL,193,117,84.5,573,222,795,128,150
114,Ed McDaniel,1992,2001,5-125,MIN,NFL,125,109,19.5,603,191,794,29,
115,Greg Lloyd,1988,1998,6-150,TOT,NFL,147,139,54.5,707,84,791,,
116,Andra Davis,2002,2011,5-141,TOT,NFL,143,103,12.0,539,247,786,50,14
117,Darrin Smith,1993,2004,2-54,TOT,NFL,156,140,24.0,584,200,784,30,
118,Shane Conlan,1987,1995,1-8,TOT,NFL,120,114,7.0,751,32,783,,
119,Joe Nash,1982,1996,,SEA,NFL,218,169,47.5,743,36,779,,
120,Deon Grant,2001,2011,2-57,TOT,NFL,176,161,6.5,623,153,776,23,8
121,Jason Taylor*,1997,2011,3-73,TOT,NFL,233,199,139.5,525,250,775,151,67
122,Tony Casillas,1986,1997,1-2,TOT,NFL,166,135,23.0,724,44,768,,
123,Leslie O'Neal,1986,1999,1-8,TOT,NFL,196,178,132.5,701,67,768,8,
124,Scott Fujita,2002,2012,5-143,TOT,NFL,143,125,23.5,598,169,767,43,19
125,Dexter Coakley,1997,2006,3-65,TOT,NFL,155,141,9.5,599,163,762,29,1
126,Ted Johnson,1995,2004,2-57,NWE,NFL,125,106,11.5,527,231,758,16,
127,Mark Fields,1995,2004,1-13,TOT,NFL,136,113,34.5,584,171,755,38,
128,Robert Jones,1992,2001,1-24,TOT,NFL,151,128,8.0,601,154,755,12,
129,Ted Washington,1991,2007,1-25,TOT,NFL,236,204,34.5,603,152,755,21,1
130,E.J. Henderson,2003,2011,2-40,MIN,NFL,125,105,15.5,552,199,751,67,36
131,Andre Collins,1990,1999,2-46,TOT,NFL,144,82,25.5,697,51,748,0,
132,Morgan Burnett,2010,2018,3-71,TOT,NFL,113,104,7.5,528,219,747,23,17
133,K.J. Wright,2011,2018,4-99,SEA,NFL,112,108,11.5,480,264,744,50,23
134,Kevin Hardy,1996,2004,1-2,TOT,NFL,134,128,36.0,561,180,741,49,
135,Brian Simmons,1998,2007,1-17,TOT,NFL,137,118,24.0,519,222,741,55,4
136,Mike Vrabel,1997,2010,3-91,TOT,NFL,206,140,57.0,511,229,740,63,41
137,Rob Fredrickson,1994,2002,1-22,TOT,NFL,128,119,15.5,540,197,737,31,
138,Akin Ayodele,2002,2010,3-89,TOT,NFL,143,114,9.5,553,183,736,32,4
139,Kevin Greene*,1985,1999,5-113,TOT,NFL,228,176,160.0,669,64,733,18,
140,Bart Scott,2002,2012,,TOT,NFL,172,118,25.0,527,205,732,75,69
141,Kirk Morrison,2005,2012,3-78,TOT,NFL,112,95,6.0,568,161,729,46,8
142,David Thornton,2002,2009,4-106,TOT,NFL,121,102,5.0,560,168,728,35,4
143,Jim Jeffcoat,1983,1997,1-23,TOT,NFL,227,128,102.5,709,15,724,,
144,Julius Peppers,2002,2018,1-2,TOT,NFL,266,240,159.5,557,167,724,175,186
145,Leonard Marshall,1983,1994,2-37,TOT,NFL,177,138,83.5,711,3,714,,
146,Al Wilson,1999,2006,1-31,DEN,NFL,125,119,21.5,555,159,714,62,2
147,Fred Strickland,1988,1999,2-47,TOT,NFL,161,111,8.5,580,131,711,0,
148,Gary Brackett,2003,2011,,CLT,NFL,116,86,4.0,521,186,707,21,13
149,Jon Beason,2007,2015,1-25,TOT,NFL,93,90,4.0,526,179,705,34,11
150,Sam Cowart,1998,2005,2-39,TOT,NFL,100,87,12.5,500,205,705,37,
151,Terry Wooden,1990,1998,2-29,TOT,NFL,120,105,10.0,614,86,700,,
152,Broderick Thomas,1989,1997,1-6,TOT,NFL,144,96,47.5,643,54,697,,
153,Tony Woods,1987,1996,1-18,TOT,NFL,147,125,24.5,679,18,697,,
154,Michael Boley,2005,2013,5-160,TOT,NFL,131,103,9.5,540,155,695,37,25
155,Sean Lee,2010,2018,2-55,DAL,NFL,93,77,3.0,447,241,688,56,13
156,Antonio Pierce,2001,2009,,TOT,NFL,124,94,9.0,530,156,686,39,11
157,Demario Davis,2012,2018,3-77,TOT,NFL,112,98,18.5,450,232,682,49,50
158,Morlon Greenwood,2001,2008,3-88,TOT,NFL,125,108,7.0,468,214,682,31,3
159,Shelton Quarles,1997,2006,,TAM,NFL,148,113,13.0,468,214,682,30,6
160,Richard Dent*,1983,1997,8-203,TOT,NFL,203,150,137.5,671,6,677,,
161,Na'il Diggs,2000,2011,4-98,TOT,NFL,170,138,11.5,539,137,676,71,10
162,Brian Cushing,2009,2017,1-15,HTX,NFL,104,104,13.5,428,246,674,42,57
163,Scott Radecic,1984,1995,2-34,TOT,NFL,182,79,7.0,668,6,674,,
164,Vaughan Johnson,1986,1994,1-15,TOT,NFL,124,98,12.0,669,0,669,,
165,Cortez Kennedy*,1990,2000,1-3,SEA,NFL,167,153,58.0,568,100,668,15,
166,Danny Clark,2000,2010,7-245,TOT,NFL,168,102,7.0,492,175,667,49,6
167,Chris Draft,1998,2009,6-157,TOT,NFL,150,89,16.0,518,149,667,55,12
168,Jamir Miller,1994,2001,1-10,TOT,NFL,121,104,36.0,478,189,667,40,
169,Chris Slade,1993,2001,2-31,TOT,NFL,142,108,53.5,452,214,666,16,
170,Joey Porter,1999,2011,3-73,TOT,NFL,188,171,98.0,498,167,665,124,72
171,Pat Williams,1997,2010,,TOT,NFL,200,157,20.5,466,199,665,94,12
172,Cortland Finnegan,2006,2015,7-215,TOT,NFL,133,111,7.0,542,121,663,23,11
173,Mason Foster,2011,2018,3-84,TOT,NFL,107,92,8.5,458,203,661,41,23
