,,,,,,,Games,Games,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Player,From,To,Draft,Tm,Lg,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts
130,Brandon McManus,2014,2018,,DEN,NFL,79,0,0,170,172,98.8,112,139,80.6,,,506
131,David Ray,1969,1974,16-243,RAM,NFL,70,0,0,167,175,95.4,110,178,61.8,,,497
132,Fred Cone,1951,1960,3-27,TOT,NFL,94,31,16,221,238,92.9,59,102,57.8,,,494
133,Danny Villanueva,1960,1967,,TOT,NFL,110,,0,236,241,97.9,85,160,53.1,,,491
134,Bobby Howfield,1968,1974,,TOT,TOT,89,0,0,193,201,96.0,98,166,59.0,,,487
135,Bill Dudley*,1942,1953,1-1,TOT,NFL,90,72,44,121,127,95.3,33,66,50.0,,,484
136,John Leypoldt,1971,1978,,TOT,NFL,92,0,0,203,222,91.4,93,154,60.4,,,482
137,Donald Igwebuike,1985,1990,10-260,TOT,NFL,80,0,0,153,160,95.6,108,143,75.5,,,477
138,Curt Knight,1969,1973,,WAS,NFL,70,0,0,172,175,98.3,101,175,57.7,,,475
139,Mac Percival,1967,1974,,TOT,NFL,91,0,0,163,167,97.6,101,190,53.2,,,466
140,Cairo Santos,2014,2018,,TOT,NFL,62,0,0,149,155,96.1,104,125,83.2,,,461
141,Benny Ricardo,1976,1984,,TOT,NFL,90,0,0,171,180,95.0,92,142,64.8,,,447
142,Cody Parkey,2014,2018,,TOT,NFL,65,0,0,149,156,95.5,99,118,83.9,,,446
143,Chris Boswell,2015,2018,,PIT,NFL,58,0,0,142,150,94.7,98,115,85.2,,,436
144,Jim Martin,1950,1964,2-26,TOT,NFL,166,56,0,158,169,93.5,92,192,47.9,,,434
145,Garrett Hartley,2008,2014,,TOT,NFL,59,0,0,178,179,99.4,85,104,81.7,,,433
146,Toni Linhart,1972,1979,,TOT,NFL,82,0,0,200,213,93.9,75,127,59.1,,,425
147,Dustin Hopkins,2014,2018,6-177,TOT,NFL,55,0,0,118,124,95.2,99,116,85.3,,,415
148,Wil Lutz,2016,2018,,NOR,NFL,48,0,0,148,153,96.7,87,100,87.0,,,409
149,Jason Myers,2015,2018,,TOT,NFL,54,0,0,106,121,87.6,97,115,84.3,,,397
150,Roger LeClerc,1960,1967,15-177,TOT,TOT,104,16,0,154,160,96.3,76,152,50.0,,,382
151,Josh Lambo,2015,2018,,TOT,NFL,55,0,0,111,122,91.0,90,105,85.7,,,381
152,Dennis Partee,1968,1975,11-291,SDG,TOT,111,0,0,167,175,95.4,71,121,58.7,,,380
153,Frank Corral,1978,1981,3-78,RAM,NFL,64,0,0,154,160,96.3,75,124,60.5,,,379
154,Wade Richey,1998,2004,,TOT,NFL,103,0,0,148,153,96.7,76,106,71.7,,,376
155,Bobby Layne*,1948,1962,1-3,TOT,NFL,175,145,25,120,124,96.8,34,50,68.0,,,372
156,Richie Cunningham,1997,2002,,TOT,NFL,52,0,0,119,120,99.2,84,105,80.0,,,371
157,Rick Danmeier,1977,1982,,MIN,NFL,74,0,0,154,166,92.8,70,106,66.0,,,364
158,Chuck Nelson,1983,1988,4-87,TOT,NFL,63,0,0,175,184,95.1,63,93,67.7,,,364
159,Steve Mike-Mayer,1975,1980,3-72,TOT,NFL,80,0,0,161,175,92.0,67,131,51.1,,,362
160,Alex Henery,2011,2014,4-120,TOT,NFL,50,0,0,121,122,99.2,75,91,82.4,,,346
161,Wayne Walker,1958,1972,4-45,DET,NFL,200,169,2,172,175,98.3,53,131,40.5,,1,345
162,Skip Butler,1971,1977,4-96,TOT,NFL,73,0,0,127,133,95.5,71,127,55.9,,,340
163,Lin Elliott,1992,1995,,TOT,NFL,50,0,0,113,118,95.8,75,99,75.8,,,338
164,Ali Haji-Sheikh,1983,1987,9-237,TOT,NFL,51,0,0,95,103,92.2,76,111,68.5,,,323
165,Wes Welker,2004,2015,,TOT,NFL,175,102,51,2,2,100.0,1,1,100.0,1,,313
166,Steve Myhra,1957,1961,12-139,CLT,NFL,62,4,0,180,189,95.2,44,91,48.4,,,312
167,Fred Steinfort,1976,1983,5-146,TOT,NFL,64,0,0,122,129,94.6,63,114,55.3,,,311
168,Jim O'Brien,1970,1973,3-70,TOT,NFL,52,8,2,109,112,97.3,60,108,55.6,,,301
169,Brett Conway,1998,2003,3-90,TOT,NFL,51,0,0,92,93,98.9,69,91,75.8,,,299
170,Cookie Gilchrist,1962,1967,,TOT,AFL,65,6,43,14,17,82.4,8,20,40.0,,,296
