,,,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G
126,John Brockington\BrocJo00,1971,1977,1-9,TOT,NFL,95,84,1347,5185,3.85,30,54.6
127,Marion Butts\ButtMa00,1989,1995,7-183,TOT,NFL,104,74,1345,5185,3.86,43,49.9
128,Lenny Moore*\MoorLe00,1956,1967,1-9,CLT,NFL,143,118,1069,5174,4.84,63,36.2
129,Ollie Matson*\MatsOl00,1952,1966,1-3,TOT,NFL,171,107,1170,5173,4.42,40,30.3
130,Clem Daniels\DaniCl00,1960,1968,,TOT,TOT,110,29,1146,5138,4.48,30,46.7
131,Emerson Boozer\BoozEm00,1966,1975,7-98 6-46AFL,NYJ,TOT,118,75,1291,5135,3.98,52,43.5
132,Kevin Mack\MackKe00,1985,1993,1-11,CLE,NFL,99,82,1291,5123,3.97,46,51.7
133,Billy Sims\SimsBi00,1980,1984,1-1,DET,NFL,60,58,1131,5106,4.51,42,85.1
134,Dexter Bussey\BussDe00,1974,1984,3-65,DET,NFL,150,100,1203,5105,4.24,18,34.0
135,Brandon Jacobs\JacoBr00,2005,2013,4-110,TOT,NFL,109,49,1141,5094,4.46,60,46.7
136,Mike Alstott\AlstMi00,1996,2006,2-35,TAM,NFL,158,137,1359,5088,3.74,58,32.2
137,Julius Jones\JoneJu01,2004,2010,2-43,TOT,NFL,94,77,1280,5068,3.96,22,53.9
138,John Williams\WillJo00,1986,1995,1-15,TOT,NFL,149,133,1245,5006,4.02,18,33.6
139,Paul Lowe\LowePa00,1960,1969,,TOT,AFL,97,78,1026,4995,4.87,38,51.5
140,John David Crow\CrowJo00,1958,1968,1-2,TOT,NFL,125,116,1157,4963,4.29,38,39.7
141,Tyrone Wheatley\WheaTy00,1995,2004,1-17,TOT,NFL,124,44,1270,4962,3.91,40,40.0
142,Greg Bell\BellGr00,1984,1990,1-26,TOT,NFL,80,67,1204,4959,4.12,51,62.0
143,Gale Sayers*\SayeGa00,1965,1971,1-4 1-5AFL,CHI,NFL,68,64,991,4956,5.00,39,72.9
144,Dorsey Levens\LeveDo00,1994,2004,5-149,TOT,NFL,144,58,1243,4955,3.99,36,34.4
145,Ahmad Bradshaw\BradAh00,2007,2015,7-250,TOT,NFL,103,36,1083,4928,4.55,36,47.8
146,Christian Okoye\OkoyCh00,1987,1992,2-35,KAN,NFL,79,65,1246,4897,3.93,40,62.0
147,Lamar Smith\SmitLa00,1994,2003,3-73,TOT,NFL,115,57,1322,4853,3.67,38,42.2
148,Joe Washington\WashJo00,1977,1985,1-4,TOT,NFL,119,53,1195,4839,4.05,12,40.7
149,Napoleon Kaufman\KaufNa00,1995,2000,1-18,RAI,NFL,91,46,978,4792,4.90,12,52.7
150,Robert Newhouse\NewhRo00,1972,1983,2-35,DAL,NFL,168,75,1160,4784,4.12,31,28.5
151,Marion Barber\BarbMa01,2005,2011,4-109,TOT,NFL,99,42,1156,4780,4.13,53,48.3
152,Chester Taylor\TaylCh01,2002,2011,6-207,TOT,NFL,151,34,1160,4740,4.09,26,31.4
153,Marion Motley*\MotlMa00,1946,1955,,TOT,TOT,105,78,828,4720,5.70,31,45.0
154,Donny Anderson\AndeDo00,1966,1974,1-7,TOT,NFL,126,80,1197,4696,3.92,41,37.3
155,J.D. Smith\SmitJ.00,1956,1966,15-179,TOT,NFL,131,84,1100,4672,4.25,40,35.7
156,MacArthur Lane\LaneMa00,1968,1978,1-13,TOT,NFL,133,91,1206,4656,3.86,30,35.0
157,Stump Mitchell\MitcSt00,1981,1989,9-226,CRD,NFL,116,53,986,4649,4.72,32,40.1
158,Tony Collins\CollTo01,1981,1990,2-47,TOT,NFL,103,83,1191,4647,3.90,32,45.1
159,Tom Matte\MattTo00,1961,1972,1-7 5-37AFL,CLT,NFL,142,91,1200,4646,3.87,45,32.7
160,Alex Webster\WebsAl00,1955,1964,11-123,NYG,NFL,109,90,1196,4638,3.88,39,42.6
161,Abner Haynes\HaynAb00,1960,1967,5-55,TOT,AFL,112,27,1036,4630,4.47,46,41.3
162,Bob Hoernschemeyer\HoerBo00,1946,1955,11-94,TOT,TOT,113,84,1059,4548,4.29,27,40.2
163,Todd Gurley\GurlTo01,2015,2018,1-10,RAM,NFL,58,57,1042,4547,4.36,46,78.4
164,Ted Brown\BrowTe00,1979,1986,1-16,MIN,NFL,104,75,1117,4546,4.07,40,43.7
165,Marv Hubbard\HubbMa00,1969,1977,11-277,TOT,TOT,103,59,951,4544,4.78,23,44.1
166,Dave Hampton\HampDa00,1969,1976,9-220,TOT,NFL,93,55,1148,4536,3.95,25,48.8
167,Mike Rozier\RoziMi00,1985,1991,1-2,TOT,NFL,92,59,1159,4462,3.85,30,48.5
168,Joseph Addai\AddaJo00,2006,2011,1-30,CLT,NFL,78,60,1095,4453,4.07,39,57.1
169,Otis Armstrong\ArmsOt00,1973,1980,1-9,DEN,NFL,96,58,1023,4453,4.35,25,46.4
170,Ed Podolak\PodoEd00,1969,1977,2-48,KAN,TOT,104,65,1157,4451,3.85,34,42.8
171,Darrin Nelson\NelsDa00,1982,1992,1-7,TOT,NFL,152,68,1020,4442,4.35,18,29.2
172,Harold Green\GreeHa00,1990,1998,2-38,TOT,NFL,124,81,1151,4365,3.79,13,35.2
173,Rob Carpenter\CarpRo01,1977,1986,3-84,TOT,NFL,118,65,1172,4363,3.72,29,37.0
174,Jim Otis\OtisJi00,1970,1978,9-218,TOT,NFL,116,61,1160,4350,3.75,19,37.5
175,Dave Osborn\OsboDa00,1965,1976,13-176,TOT,NFL,143,68,1179,4336,3.68,29,30.3
176,Ron Johnson\JohnRo02,1969,1975,1-20,TOT,NFL,81,68,1204,4308,3.58,40,53.2
177,Altie Taylor\TaylAl00,1969,1976,2-34,TOT,NFL,102,83,1170,4308,3.68,24,42.2
178,Craig Heyward\HeywCr00,1988,1998,1-24,TOT,NFL,149,107,1031,4301,4.17,30,28.9
179,Gary Brown\BrowGa00,1991,1999,8-214,TOT,NFL,99,47,1032,4300,4.17,21,43.4
180,Cookie Gilchrist\GilcCo00,1962,1967,,TOT,AFL,65,6,1010,4293,4.25,37,66.0
181,Matt Snell\SnelMa00,1964,1972,4-49 1-3AFL,NYJ,TOT,86,75,1057,4285,4.05,24,49.8
182,Johnny Hector\HectJo00,1983,1992,2-51,NYJ,NFL,126,36,1051,4280,4.07,41,34.0
