,,,,,,,Games,Games,Punting,Punting,Punting,Punting
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Pnt,Yds,Y/P,Blck
129,Dirk Johnson\JohnDi20,2002,2009,,TOT,NFL,80,0,382,15914,41.66,0
130,Frank Garcia\GarcFr20,1981,1987,,TOT,NFL,77,0,381,15662,41.11,3
131,Tom Wittum\WittTo20,1973,1977,8-200,SFO,NFL,70,0,380,15494,40.77,9
132,Kyle Larson\LarsKy20,2004,2008,,CIN,NFL,80,0,379,15900,41.95,3
133,Greg Cater\CateGr20,1980,1987,10-259,TOT,NFL,77,0,377,14605,38.74,3
134,Tom Yewcic\YewcTo00,1961,1966,27-319,NWE,AFL,77,6,377,14553,38.60,8
135,Rick Donnelly\donneric01,1985,1991,,TOT,NFL,74,0,376,15828,42.10,3
136,Joe Prokop\ProkJo21,1985,1992,,TOT,NFL,79,0,376,14688,39.06,0
137,King Hill\HillKi00,1958,1969,1-1,TOT,NFL,123,29,368,15181,41.25,1
138,Ron Widby\WidbRo20,1968,1973,4-81,TOT,NFL,81,0,368,15448,41.98,4
139,Derrick Frost\FrosDe20,2004,2008,,TOT,NFL,74,0,365,15042,41.21,1
140,Carl Birdsong\BirdCa20,1981,1985,,CRD,NFL,73,0,360,14916,41.43,3
141,Jerry Norton\NortJe00,1954,1964,7-81,TOT,NFL,131,88,358,15671,43.77,2
142,Pat O'Donnell\ODonPa00,2014,2018,6-191,CHI,NFL,79,0,358,16076,44.91,3
143,Tress Way\WayxTr00,2014,2018,,WAS,NFL,80,0,358,16467,46.00,1
144,Kelly Goodburn\GoodKe20,1987,1993,,TOT,NFL,85,0,351,14011,39.92,4
145,John Teltschik\TeltJo20,1986,1989,9-249,PHI,NFL,54,0,345,13828,40.08,5
146,Pat Richter\RichPa00,1963,1970,1-7 10-78AFL,WAS,NFL,103,44,338,14183,41.96,0
147,Colton Schmidt\SchmCo00,2014,2018,,BUF,NFL,67,0,338,14882,44.03,0
148,Steve O'Neal\ONeaSt20,1969,1973,13-338,TOT,TOT,70,0,337,13725,40.73,2
149,Gary Collins\CollGa00,1962,1971,1-4 1-6AFL,CLE,NFL,127,106,336,13764,40.96,2
150,Bradley Pinion\PiniBr00,2015,2018,5-165,SFO,NFL,64,0,334,14599,43.71,1
151,Ryan Quigley\QuigRy00,2013,2017,,TOT,NFL,67,0,330,14555,44.11,3
152,Bucky Scribner\ScriBu20,1983,1989,11-299,TOT,NFL,68,0,330,13543,41.04,3
153,Micah Knorr\knorrmic01,2000,2004,,TOT,NFL,73,0,329,13634,41.44,6
154,Brad Wing\WingBr00,2014,2017,,TOT,NFL,64,0,325,14533,44.72,2
155,Leo Araguz\AragLe20,1996,2005,,TOT,NFL,60,0,322,13731,42.64,1
156,Reggie Hodges\HodgRe20,2005,2012,6-210,TOT,NFL,64,0,320,13266,41.46,2
157,Jeff Locke\LockJe00,2013,2017,5-155,TOT,NFL,69,0,317,13757,43.40,1
158,Tom McNeill\McNeTo20,1967,1973,,TOT,NFL,66,0,317,13038,41.13,2
159,Dan Pastorini\PastDa00,1971,1983,1-3,TOT,NFL,140,117,316,12530,39.65,1
160,Mike Mercer\MercMi20,1961,1970,15-197,TOT,TOT,119,0,308,12473,40.50,4
161,George Roberts\RobeGe20,1978,1982,,TOT,NFL,67,0,306,12544,40.99,4
162,Julian Fagan\FagaJu20,1970,1973,17-430,TOT,NFL,56,0,299,12100,40.47,5
163,Tom Skladany\SklaTo20,1978,1983,2-46,TOT,NFL,61,0,295,12425,42.12,2
164,Bucky Dilts\DiltBu20,1977,1979,,TOT,NFL,46,0,285,10676,37.46,2
165,Dave Lewis\LewiDa22,1970,1973,5-109,CIN,NFL,56,0,285,12447,43.67,0
166,Larry Swider\SwidLa20,1979,1982,7-185,TOT,NFL,52,0,284,11730,41.30,4
167,Bob Scarpitto\ScarBo00,1961,1968,9-71 9-71AFL,TOT,AFL,102,,283,12408,43.84,4
168,Fred Morrison\MorrFr00,1950,1956,1-10,TOT,NFL,84,36,281,11731,41.75,4
169,Cotton Davidson\DaviCo00,1954,1968,1-5,TOT,TOT,111,53,280,10679,38.14,3
170,Russell Erxleben\erxlerus01,1979,1987,1-11,TOT,NFL,59,0,280,11381,40.65,0
171,Jim Fraser\FrasJi20,1962,1968,21-250,TOT,TOT,72,,278,11737,42.22,7
172,Jeff Hayes\HayeJe20,1982,1987,,TOT,NFL,63,0,274,10471,38.22,5
173,Mike Black\BlacMi20,1983,1987,7-181,DET,NFL,58,0,272,11181,41.11,2
174,Rusty Jackson\JackRu20,1976,1979,,TOT,NFL,46,0,260,10050,38.65,4
175,Duane Carrell\CarrDu20,1974,1977,,TOT,NFL,47,0,257,9997,38.90,0
176,Max McGee\McGeMa00,1954,1967,5-51,GNB,NFL,148,110,256,10647,41.59,2
